ID;Material;Name;Thickness;Width;Height;Quantity;leftButt;topButt;rightButt;bottomButt
1;Pal melaminat Casmir 5981BS 2800x2070x18mm;Face;18;207.50000000000003;480;1;x;x;x;x
2;Pal melaminat Casmir 5981BS 2800x2070x18mm;Face;18;207.50000000000003;480;1;x;x;x;x
3;Pal melaminat Casmir 5981BS 2800x2070x18mm;side right;18;471;157.10000000000002;1;;x;;x
4;Pal melaminat Casmir 5981BS 2800x2070x18mm;side left;18;471;157.10000000000002;1;;x;;x
5;Pal melaminat Casmir 5981BS 2800x2070x18mm;side left;18;471;155.10000000000002;1;;x;;x
6;Pal melaminat Casmir 5981BS 2800x2070x18mm;side right;18;471;155.10000000000002;1;;x;;x
7;Pal melaminat Casmir 5981BS 2800x2070x18mm;Rear;18;455.6;157.10000000000002;1;x;x;x;x
8;Pal melaminat Casmir 5981BS 2800x2070x18mm;Rear;18;455.6;155.10000000000002;1;x;x;x;x
