Nr.;DenumirePiesa;Decor;Lungime;Latime;Nr.Buc.;Fibra;Fata;Spate;Stanga;Dreapta
1;"box_face 4";Pal melaminat Casmir 5981BS 2800x2070x18mm;476;189;6;;Cant ABS Alb Neted 110SM 22X2mm;Cant ABS Alb Neted 110SM 22X2mm;Cant ABS Alb Neted 110SM 22X2mm;Cant ABS Alb Neted 110SM 22X2mm
2;"box_right 5";Pal melaminat Casmir 5981BS 2800x2070x18mm;139;464;6;;Cant ABS Violet D148 PS11 22x0.4mm;Cant ABS Violet D148 PS11 22x0.4mm;;
3;"box_left 6";Pal melaminat Casmir 5981BS 2800x2070x18mm;139;464;6;;Cant ABS Violet D148 PS11 22x0.4mm;Cant ABS Violet D148 PS11 22x0.4mm;;
4;"box_end 7";Pal melaminat Casmir 5981BS 2800x2070x18mm;139;454;6;;Cant ABS Violet D148 PS11 22x0.4mm;Cant ABS Violet D148 PS11 22x0.4mm;Cant ABS Violet D148 PS11 22x0.4mm;Cant ABS Violet D148 PS11 22x0.4mm
