Артикул;Материал;Облицовка[L1];Облицовка[L2];Облицовка[W1];Облицовка[W2];Код детали;Наименование;Количество;Текстура;Ориентация в WoodNEST;Длина;Ширина;Толщина;Сторона;Две программы;Заказ;Путь;Позиция;
;PAL not printed;  ;  ;  ;  ;boxes_in_my_room.1;Вертикальная;1;X;1;1225;509;18;Лицевая;;;C:\Users\Serhii_Paukov\Documents\Bazis\проекты мебели\Romania\my_room\MPR\1_1;1;
;PAL not printed;  ;  ;  ;  ;boxes_in_my_room.2;Вертикальная;1;X;1;1225;509;18;Лицевая;;;C:\Users\Serhii_Paukov\Documents\Bazis\проекты мебели\Romania\my_room\MPR\2_1;2;
;PAL not printed;  ;  ;  ;  ;boxes_in_my_room.3;Горизонтальная;2;X;1;516;509;18;Лицевая;;;C:\Users\Serhii_Paukov\Documents\Bazis\проекты мебели\Romania\my_room\MPR\3_1;3;
;Pal melaminat Casmir 5981BS 2800x2070x18mm;Cant ABS Alb Neted 110SM 22X2mm  ;Cant ABS Alb Neted 110SM 22X2mm  ;Cant ABS Alb Neted 110SM 22X2mm  ;Cant ABS Alb Neted 110SM 22X2mm  ;boxes_in_my_room.4;box_face;6;Y;2;472;184.5;18;Нелицевая;;;C:\Users\Serhii_Paukov\Documents\Bazis\проекты мебели\Romania\my_room\MPR\4_2;4;
;Pal melaminat Casmir 5981BS 2800x2070x18mm;Cant ABS Violet D148 PS11 22x0.4mm  ;Cant ABS Violet D148 PS11 22x0.4mm  ;  ;  ;boxes_in_my_room.5;box_right;6;X;1;464;137.7;18;Лицевая;;;C:\Users\Serhii_Paukov\Documents\Bazis\проекты мебели\Romania\my_room\MPR\5_1;5;
;Pal melaminat Casmir 5981BS 2800x2070x18mm;Cant ABS Violet D148 PS11 22x0.4mm  ;Cant ABS Violet D148 PS11 22x0.4mm  ;  ;  ;boxes_in_my_room.6;box_left;6;X;1;464;137.7;18;Нелицевая;;;C:\Users\Serhii_Paukov\Documents\Bazis\проекты мебели\Romania\my_room\MPR\6_2;6;
;Pal melaminat Casmir 5981BS 2800x2070x18mm;Cant ABS Violet D148 PS11 22x0.4mm  ;Cant ABS Violet D148 PS11 22x0.4mm  ;Cant ABS Violet D148 PS11 22x0.4mm  ;Cant ABS Violet D148 PS11 22x0.4mm  ;boxes_in_my_room.7;box_end;6;X;1;453.2;137.7;18;Лицевая;;;C:\Users\Serhii_Paukov\Documents\Bazis\проекты мебели\Romania\my_room\MPR\7_1;7;
;Placa HDF lacuit Kronospan alb 101, 2800 x 2070 x 3 mm;  ;  ;  ;  ;boxes_in_my_room.8;box_bottom;6;Y;2;472;426;3;Лицевая;;;C:\Users\Serhii_Paukov\Documents\Bazis\проекты мебели\Romania\my_room\MPR\8_1;8;
