Габаритная рамка;;480;439;509;нет кромок
Вертикальная;2;509;439;18;нет кромок
Вертикальная;2;509;439;18;нет кромок
Горизонтальная;1;516;509;18;нет кромок
Горизонтальная;1;516;509;18;нет кромок
Rear;;455.6;157.10000000000002;18;4 кромки
side left;;471;157.10000000000002;18;2 кромки
side right;;471;157.10000000000002;18;2 кромки
Face;;480;207.50000000000003;18;4 кромки
Under;;426;479;3;нет кромок
Евровинт 6х50;;50;8;8;нет кромок
Евровинт 6х50;;50;8;8;нет кромок
Евровинт 6х50;;50;8;8;нет кромок
Евровинт 6х50;;50;8;8;нет кромок
Минификс Raster 15 эксцентрик цинк (0079462)11268;;54.5;13;15;нет кромок
Минификс Raster 15 эксцентрик цинк (0079462)11268;;54.5;13;15;нет кромок
Минификс Raster 15 эксцентрик цинк (0079462)11268;;54.5;13;15;нет кромок
Минификс Raster 15 эксцентрик цинк (0079462)11268;;54.5;13;15;нет кромок
Направляющая телескопическая L-450мм Н-43мм ДС ЕвроЛайн88852 Направляющая левая;;13;20;450;нет кромок
Направляющая телескопическая L-450мм Н-43мм ДС ЕвроЛайн88852 Направляющая правая;;13;20;450;нет кромок
Шуруп 3,5х16 (отв 2х10);;10;2;2;нет кромок
Шуруп 3,5х16 (отв 2х10);;10;2;2;нет кромок
Шуруп 3,5х16 (отв 2х10);;10;2;2;нет кромок
Шуруп 3,5х16 (отв 2х10);;10;2;2;нет кромок
Шуруп 3,5х16 (отв 2х10);;10;2;2;нет кромок
Шуруп 3,5х16 (отв 2х10);;10;2;2;нет кромок
Шуруп 3,5х16 (отв 2х10);;10;2;2;нет кромок
Шуруп 3,5х16 (отв 2х10);;10;2;2;нет кромок
Шуруп 3,5х16 (отв 2х10);;10;2;2;нет кромок
Шуруп 3,5х16 (отв 2х10);;10;2;2;нет кромок
Шуруп 3,5х16 (отв 2х10);;10;2;2;нет кромок
Шуруп 3,5х16 (отв 2х10);;10;2;2;нет кромок
Шуруп 3,5х16 (отв 2х10);;10;2;2;нет кромок
Шуруп 3,5х16 (отв 2х10);;10;2;2;нет кромок
Шуруп 3,5х16 (отв 2х10);;10;2;2;нет кромок
Шуруп 3,5х16 (отв 2х10);;10;2;2;нет кромок
Rear;;455.6;155.10000000000002;18;4 кромки
side left;;471;155.10000000000002;18;2 кромки
side right;;471;155.10000000000002;18;2 кромки
Face;;480;207.50000000000003;18;4 кромки
Under;;426;479;3;нет кромок
Евровинт 6х50;;50;8;8;нет кромок
Евровинт 6х50;;50;8;8;нет кромок
Евровинт 6х50;;50;8;8;нет кромок
Евровинт 6х50;;50;8;8;нет кромок
Минификс Raster 15 эксцентрик цинк (0079462)11268;;54.5;13;15;нет кромок
Минификс Raster 15 эксцентрик цинк (0079462)11268;;54.5;13;15;нет кромок
Минификс Raster 15 эксцентрик цинк (0079462)11268;;54.5;13;15;нет кромок
Минификс Raster 15 эксцентрик цинк (0079462)11268;;54.5;13;15;нет кромок
Направляющая телескопическая L-450мм Н-43мм ДС ЕвроЛайн88852 Направляющая левая;;13;20;450;нет кромок
Направляющая телескопическая L-450мм Н-43мм ДС ЕвроЛайн88852 Направляющая правая;;13;20;450;нет кромок
Шуруп 3,5х16 (отв 2х10);;10;2;2;нет кромок
Шуруп 3,5х16 (отв 2х10);;10;2;2;нет кромок
Шуруп 3,5х16 (отв 2х10);;10;2;2;нет кромок
Шуруп 3,5х16 (отв 2х10);;10;2;2;нет кромок
Шуруп 3,5х16 (отв 2х10);;10;2;2;нет кромок
Шуруп 3,5х16 (отв 2х10);;10;2;2;нет кромок
Шуруп 3,5х16 (отв 2х10);;10;2;2;нет кромок
Шуруп 3,5х16 (отв 2х10);;10;2;2;нет кромок
Шуруп 3,5х16 (отв 2х10);;10;2;2;нет кромок
Шуруп 3,5х16 (отв 2х10);;10;2;2;нет кромок
Шуруп 3,5х16 (отв 2х10);;10;2;2;нет кромок
Шуруп 3,5х16 (отв 2х10);;10;2;2;нет кромок
Шуруп 3,5х16 (отв 2х10);;10;2;2;нет кромок
Шуруп 3,5х16 (отв 2х10);;10;2;2;нет кромок
Шуруп 3,5х16 (отв 2х10);;10;2;2;нет кромок
Шуруп 3,5х16 (отв 2х10);;10;2;2;нет кромок
